,名字,描述,图标路径,大小配置（数组）,开场动画,提示,随机删减比率,随机种子（默认使用关卡id随机， 大于0，当前数字随机，等于0关卡id随机，小于0纯随机）,冲突个数,提示,最小缩放
id,id_name,id_describe,icon_url,size,anim,tip,removeRatio,seed_id,bug_count,tip,scaleMin
1,,,,4;3,0,1,0.2,10,0,1,0.6
2,,,,4;3,0,1,0.2,3,0,1,0.6
3,,,,4;4,0,1,0.2,3,0,0,0.6
4,,,,4;4,0,0,0.2,2,0,0,0.6
5,,,,5;4,1,0,0.2,-1,1,0,0.6
6,,,,5;4,0,0,0.2,-1,0,0,0.6
7,,,,5;5,0,0,0.2,-1,1,0,0.6
8,,,,5;5,0,0,0.2,-1,0,0,0.6
9,,,,6;5,0,0,0.2,-1,1,0,0.6
10,,,,6;5,1,0,0.2,-1,0,0,0.6
11,,,,6;6,0,0,0.2,-1,1,0,0.6
12,,,,6;6,0,0,0.2,-1,0,0,0.6
13,,,,7;6,0,0,0.2,-1,1,0,0.6
14,,,,7;6,0,0,0.2,-1,0,0,0.6
15,,,,7;6,1,0,0.2,-1,1,0,0.6
16,,,,7;6,0,0,0.2,-1,0,0,0.6
17,,,,7;6,0,0,0.2,-1,1,0,0.6
18,,,,7;7,0,0,0.2,-1,0,0,0.6
19,,,,7;7,0,0,0.2,-1,1,0,0.6
20,,,,7;7,1,0,0.2,-1,0,0,0.6
21,,,,7;7,0,0,0.2,-1,1,0,0.6
22,,,,7;7,0,0,0.2,-1,0,0,0.6
23,,,,8;7,0,0,0.2,-1,1,0,0.6
24,,,,8;7,0,0,0.2,-1,0,0,0.6
25,,,,8;7,1,0,0.2,-1,1,0,0.6
26,,,,8;7,0,0,0.2,-1,0,0,0.6
27,,,,8;7,0,0,0.2,-1,2,0,0.6
28,,,,8;8,0,0,0.2,-1,0,0,0.6
29,,,,8;8,0,0,0.2,-1,1,0,0.6
30,,,,8;8,1,0,0.2,-1,2,0,0.6
31,,,,8;8,0,0,0.2,-1,0,0,0.6
32,,,,8;8,0,0,0.2,-1,1,0,0.6
33,,,,9;8,0,0,0.2,-1,2,0,0.6
34,,,,9;8,0,0,0.2,-1,0,0,0.6
35,,,,9;8,1,0,0.2,-1,1,0,0.6
36,,,,9;8,0,0,0.2,-1,2,0,0.6
37,,,,9;8,0,0,0.2,-1,0,0,0.6
38,,,,9;9,0,0,0.2,-1,1,0,0.6
39,,,,9;9,0,0,0.2,-1,2,0,0.6
40,,,,9;9,1,0,0.2,-1,0,0,0.6
41,,,,9;9,0,0,0.2,-1,1,0,0.6
42,,,,9;9,0,0,0.2,-1,2,0,0.6
43,,,,10;9,0,0,0.2,-1,0,0,0.6
44,,,,10;9,0,0,0.2,-1,1,0,0.6
45,,,,10;9,1,0,0.2,-1,2,0,0.6
46,,,,10;9,0,0,0.2,-1,0,0,0.6
47,,,,10;9,0,0,0.2,-1,1,0,0.6
48,,,,10;10,0,0,0.2,-1,2,0,0.6
49,,,,10;10,0,0,0.2,-1,0,0,0.6
50,,,,10;10,1,0,0.2,-1,1,0,0.6
51,,,,10;10,0,0,0.2,-1,1,0,0.6
52,,,,10;10,0,0,0.2,-1,2,0,0.6
53,,,,11;10,0,0,0.2,-1,2,0,0.6
54,,,,11;10,0,0,0.2,-1,1,0,0.6
55,,,,11;10,0,0,0.2,-1,2,0,0.6
56,,,,11;10,0,0,0.2,-1,2,0,0.6
57,,,,11;10,0,0,0.2,-1,1,0,0.6
58,,,,11;11,0,0,0.2,-1,2,0,0.6
59,,,,11;11,0,0,0.2,-1,2,0,0.6
60,,,,11;11,0,0,0.2,-1,1,0,0.6
61,,,,11;11,0,0,0.2,-1,2,0,0.6
62,,,,11;11,0,0,0.2,-1,2,0,0.6
63,,,,12;11,0,0,0.2,-1,2,0,0.6
64,,,,12;11,0,0,0.2,-1,2,0,0.6
65,,,,12;11,0,0,0.2,-1,2,0,0.6
66,,,,12;11,0,0,0.2,-1,2,0,0.6
67,,,,12;11,0,0,0.2,-1,2,0,0.6
68,,,,12;12,0,0,0.2,-1,2,0,0.6
69,,,,12;12,0,0,0.2,-1,2,0,0.6
70,,,,12;12,0,0,0.2,-1,2,0,0.6
71,,,,12;12,0,0,0.2,-1,2,0,0.6
72,,,,12;12,0,0,0.2,-1,2,0,0.6
73,,,,12;12,0,0,0.2,-1,2,0,0.6
74,,,,12;12,0,0,0.2,-1,2,0,0.6
75,,,,12;12,0,0,0.2,-1,2,0,0.6
76,,,,13;13,0,0,0.2,-1,2,0,0.6
77,,,,13;13,0,0,0.2,-1,2,0,0.6
78,,,,13;13,0,0,0.2,-1,2,0,0.6
79,,,,13;13,0,0,0.2,-1,2,0,0.6
80,,,,13;13,0,0,0.2,-1,2,0,0.6
81,,,,13;13,0,0,0.2,-1,2,0,0.6
82,,,,13;13,0,0,0.2,-1,2,0,0.6
83,,,,13;13,0,0,0.2,-1,2,0,0.6
84,,,,13;13,0,0,0.2,-1,2,0,0.6
85,,,,13;13,0,0,0.2,-1,2,0,0.6
86,,,,13;13,0,0,0.2,-1,2,0,0.6
87,,,,13;13,0,0,0.2,-1,2,0,0.6
88,,,,13;13,0,0,0.2,-1,2,0,0.6
89,,,,13;13,0,0,0.2,-1,2,0,0.6
90,,,,13;13,0,0,0.2,-1,2,0,0.6
91,,,,14;14,0,0,0.2,-1,2,0,0.6
92,,,,14;14,0,0,0.2,-1,2,0,0.6
93,,,,14;14,0,0,0.2,-1,2,0,0.6
94,,,,14;14,0,0,0.2,-1,2,0,0.6
95,,,,14;14,0,0,0.2,-1,2,0,0.6
96,,,,14;14,0,0,0.2,-1,2,0,0.6
97,,,,14;14,0,0,0.2,-1,2,0,0.6
98,,,,14;14,0,0,0.2,-1,2,0,0.6
99,,,,14;14,0,0,0.2,-1,2,0,0.6
100,,,,14;14,0,0,0.2,-1,2,0,0.6
101,,,,14;14,0,0,0.2,-1,2,0,0.6
102,,,,14;14,0,0,0.2,-1,2,0,0.6
103,,,,14;14,0,0,0.2,-1,2,0,0.6
104,,,,14;14,0,0,0.2,-1,2,0,0.6
105,,,,14;14,0,0,0.2,-1,2,0,0.6
106,,,,14;14,0,0,0.2,-1,2,0,0.6
107,,,,14;14,0,0,0.2,-1,2,0,0.6
108,,,,14;14,0,0,0.2,-1,2,0,0.6
109,,,,14;14,0,0,0.2,-1,2,0,0.6
110,,,,14;14,0,0,0.2,-1,2,0,0.6
111,,,,14;14,0,0,0.2,-1,2,0,0.6
112,,,,14;14,0,0,0.2,-1,2,0,0.6
113,,,,14;14,0,0,0.2,-1,2,0,0.6
114,,,,14;14,0,0,0.2,-1,2,0,0.6
115,,,,14;14,0,0,0.2,-1,2,0,0.6
116,,,,14;14,0,0,0.2,-1,2,0,0.6
117,,,,14;14,0,0,0.2,-1,2,0,0.6
118,,,,14;14,0,0,0.2,-1,2,0,0.6
119,,,,14;14,0,0,0.2,-1,2,0,0.6
120,,,,14;14,0,0,0.2,-1,2,0,0.6
121,,,,14;14,0,0,0.2,-1,2,0,0.6
122,,,,14;14,0,0,0.2,-1,2,0,0.6
123,,,,14;14,0,0,0.2,-1,2,0,0.6
124,,,,14;14,0,0,0.2,-1,2,0,0.6
125,,,,14;14,0,0,0.2,-1,2,0,0.6
126,,,,14;14,0,0,0.2,-1,2,0,0.6
127,,,,14;14,0,0,0.2,-1,2,0,0.6
128,,,,14;14,0,0,0.2,-1,2,0,0.6
129,,,,14;14,0,0,0.2,-1,2,0,0.6
130,,,,14;14,0,0,0.2,-1,2,0,0.6
131,,,,14;14,0,0,0.2,-1,2,0,0.6
132,,,,14;14,0,0,0.2,-1,2,0,0.6
133,,,,14;14,0,0,0.2,-1,2,0,0.6
134,,,,14;14,0,0,0.2,-1,2,0,0.6
135,,,,14;14,0,0,0.2,-1,2,0,0.6
136,,,,14;14,0,0,0.2,-1,2,0,0.6
137,,,,14;14,0,0,0.2,-1,2,0,0.6
138,,,,14;14,0,0,0.2,-1,2,0,0.6
139,,,,14;14,0,0,0.2,-1,2,0,0.6
140,,,,14;14,0,0,0.2,-1,2,0,0.6
141,,,,14;14,0,0,0.2,-1,2,0,0.6
142,,,,14;14,0,0,0.2,-1,2,0,0.6
143,,,,14;14,0,0,0.2,-1,2,0,0.6
144,,,,14;14,0,0,0.2,-1,2,0,0.6
145,,,,14;14,0,0,0.2,-1,2,0,0.6
146,,,,14;14,0,0,0.2,-1,2,0,0.6
147,,,,14;14,0,0,0.2,-1,2,0,0.6
148,,,,14;14,0,0,0.2,-1,2,0,0.6
149,,,,14;14,0,0,0.2,-1,2,0,0.6
150,,,,14;14,0,0,0.2,-1,2,0,0.6
151,,,,14;14,0,0,0.2,-1,2,0,0.6
152,,,,14;14,0,0,0.2,-1,2,0,0.6
153,,,,14;14,0,0,0.2,-1,2,0,0.6
154,,,,14;14,0,0,0.2,-1,2,0,0.6
155,,,,14;14,0,0,0.2,-1,2,0,0.6
156,,,,14;14,0,0,0.2,-1,2,0,0.6
157,,,,14;14,0,0,0.2,-1,2,0,0.6
158,,,,14;14,0,0,0.2,-1,2,0,0.6
159,,,,14;14,0,0,0.2,-1,2,0,0.6
160,,,,14;14,0,0,0.2,-1,2,0,0.6
161,,,,14;14,0,0,0.2,-1,2,0,0.6
162,,,,14;14,0,0,0.2,-1,2,0,0.6
163,,,,14;14,0,0,0.2,-1,2,0,0.6
164,,,,14;14,0,0,0.2,-1,2,0,0.6
165,,,,14;14,0,0,0.2,-1,2,0,0.6
166,,,,15;15,0,0,0.2,-1,2,0,0.6
167,,,,15;15,0,0,0.2,-1,2,0,0.6
168,,,,15;15,0,0,0.2,-1,2,0,0.6
169,,,,15;15,0,0,0.2,-1,2,0,0.6
170,,,,15;15,0,0,0.2,-1,2,0,0.6
171,,,,15;15,0,0,0.2,-1,2,0,0.6
172,,,,15;15,0,0,0.2,-1,2,0,0.6
173,,,,15;15,0,0,0.2,-1,2,0,0.6
174,,,,15;15,0,0,0.2,-1,2,0,0.6
